,time,thread,thread_n,processing_unit,total_frames,fps_mean,fps_max,fps_min,label_count_mean,overall_time
0,525.4681391716003,0.0,3,cpu,341.0,4.641581313609846,14.285714285714285,0.033852403520649964,2.1524926686217007,525.468813419342
1,463.50969982147217,1.0,3,cpu,341.0,4.7906384966564595,5.555555555555555,1.2345679012345678,2.1524926686217007,525.468813419342
2,494.9107723236084,2.0,3,cpu,341.0,4.606060417445859,5.434782608695652,1.2453300124533,2.1524926686217007,525.468813419342
0,392.2896544933319,0.0,3,cuda,341.0,76.82124164312013,83.33333333333333,0.9596928982725528,2.1524926686217007,452.8009879589081
1,452.79885721206665,1.0,3,cuda,341.0,66.54276899681375,83.33333333333333,0.9881422924901185,2.1524926686217007,452.8009879589081
2,420.9098479747772,2.0,3,cuda,341.0,71.9655671351322,90.90909090909092,1.0245901639344261,2.1524926686217007,452.8009879589081
